uuid,creation_date,frequency,day,updated_at,next_payment_day,status
a4fffebe-5b35-4ded-b83b-14852492ddca,1733231156,weekly,monday,2024-12-03 05:07:41,9,enabled
31f302d1-ee38-4cdc-8943-845f32e23d13,1726571509,weekly,tuesday,2024-12-03 04:57:13,10,enabled
60d0d14e-33e6-45ae-b7f3-c5c1d732f734,1733228890,monthly,fifteenth_day,2024-12-03 04:28:10,15,enabled
1fc74dc2-7d96-4a2a-a8c0-ae3a61eacf7d,1733207977,weekly,friday,2024-12-02 22:39:37,6,enabled
397f8b21-3af1-4a08-81eb-e085eb1160ca,1733207794,weekly,friday,2024-12-02 22:36:34,6,enabled
2a18265a-128b-446e-aba2-045e38bd66bc,1733202853,monthly,fifteenth_day,2024-12-02 21:14:13,15,enabled
a32f2c6c-b44f-4741-aab9-f662c69a1ee6,1733176979,weekly,saturday,2024-12-02 20:43:44,7,enabled
da063749-7635-4f56-92e1-7adb51c38ea1,1733199497,biweekly,tuesday,2024-12-02 20:18:17,10,enabled
26db6f4c-d81c-4ee1-92a8-308ea6051fde,1733199477,biweekly,tuesday,2024-12-02 20:17:57,10,enabled
eab4d50f-2a17-4f07-b462-53be0e54f6c6,1727740591,weekly,tuesday,2024-12-02 19:54:47,10,enabled
ece0e509-e3c3-4e10-af13-94c184da1b51,1733196050,biweekly,thursday,2024-12-02 19:20:50,12,enabled
a3f105ea-bfa4-45ba-931e-992154270226,1733196028,biweekly,thursday,2024-12-02 19:20:28,12,enabled
1791bcb9-e6f7-4f31-a8a4-cbc62244e2aa,1733196003,biweekly,thursday,2024-12-02 19:20:03,12,enabled
b93536a8-715f-4bb0-b4da-4771427ce383,1733195813,biweekly,friday,2024-12-02 19:16:53,13,enabled
9a357c22-680a-4027-839f-b5cd4081dac9,1733192724,weekly,friday,2024-12-02 18:25:24,6,enabled
7abc110c-1411-4a8c-b998-9f5e1948303a,1733191757,biweekly,tuesday,2024-12-02 18:09:17,10,enabled
f184a04d-f1ed-4f70-93a4-19426423a476,1733190231,biweekly,saturday,2024-12-02 17:43:51,14,enabled
141e91f8-6644-49a1-9f39-c437724f0fe3,1733183411,biweekly,thursday,2024-12-02 15:50:11,12,enabled
39250ff3-abfa-4407-89d0-5ef32fae7aa3,1733182741,biweekly,friday,2024-12-02 15:39:26,13,enabled
e55392c6-b5cb-459a-a4de-d34e870cfbf8,1733182727,biweekly,friday,2024-12-02 15:39:17,13,enabled
16bfe311-6965-4737-a23a-c8087e81ad8b,1733182730,monthly,first_day,2024-12-02 15:38:50,1,enabled
de9d5f15-317e-4a76-a023-c0a910d498a8,1733179512,monthly,first_day,2024-12-02 14:45:12,1,enabled
3f48527e-b835-4277-abff-6f8b20fb98c3,1733176990,monthly,first_day,2024-12-02 14:10:41,1,enabled
67253b3e-9671-43f5-abe0-50e9a143f338,1733175363,biweekly,friday,2024-12-02 13:36:03,13,enabled
6c7d22ab-083c-4cca-a61f-4d194c5828f7,1732124522,biweekly,friday,2024-12-02 13:25:57,13,enabled
71e6a697-a445-440f-8ed1-710d5a21bbf3,1732124511,biweekly,friday,2024-12-02 13:25:46,13,enabled
